id,group_name,category,tags,title,description,resources
llava-visual-instruction-tuning,tech,ai-ml,multimodal;vlm;instruction-tuning,LLaVA: Visual Instruction Tuning,Connects a pre-trained vision encoder (CLIP ViT) with a language model decoder (Vicuna/Llama) using a linear or MLP projection matrix. Fine-tunes the system end-to-end on multimodal instruction-following conversational datasets generated by GPT-4.,"[{""label"": ""Visual Instruction Tuning (Liu et al., NeurIPS)"", ""url"": ""https://arxiv.org/abs/2304.08485""}, {""label"": ""LLaVA-1.5: Improved Baselines with Visual Instruction Tuning"", ""url"": ""https://arxiv.org/abs/2310.03744""}, {""label"": ""LLaVA Official GitHub Implementation"", ""url"": ""https://github.com/haotian-liu/LLaVA""}]"
neural-radiance-fields-nerf,tech,ai-ml,3d-vision;neural-rendering;computer-vision,Neural Radiance Fields (NeRF),"Synthesizes novel 3D views of complex scenes by querying a continuous volumetric 5D function (spatial location and viewing direction) parameterized by an MLP, rendering novel perspectives via differentiable volume rendering.","[{""label"": ""NeRF: Representing Scenes as Neural Radiance Fields for View Synthesis (Mildenhall et al.)"", ""url"": ""https://arxiv.org/abs/2003.08934""}, {""label"": ""Instant Neural Graphics Primitives with a Multiresolution Hash Encoding (Müller et al., NVIDIA)"", ""url"": ""https://arxiv.org/abs/2201.05989""}, {""label"": ""Nerfstudio Documentation"", ""url"": ""https://docs.nerf.studio/""}]"
3d-gaussian-splatting,tech,ai-ml,3d-vision;computer-graphics;real-time,3D Gaussian Splatting for Real-Time Radiance Field Rendering,Represents 3D scenes as millions of anisotropic 3D Gaussians optimized via differentiable tile-based rasterization. It delivers NeRF-quality visual fidelity while executing real-time 100+ FPS rendering on standard GPUs.,"[{""label"": ""3D Gaussian Splatting for Real-Time Radiance Field Rendering (Kerbl et al., SIGGRAPH)"", ""url"": ""https://repo-sam.inria.fr/fungraph/3d-gaussian-splatting/""}, {""label"": ""Gaussian Splatting Paper (arXiv)"", ""url"": ""https://arxiv.org/abs/2308.04079""}, {""label"": ""Nerfstudio 3DGS Documentation"", ""url"": ""https://docs.nerf.studio/nerfology/methods/gaussian_splatting.html""}]"
knowledge-distillation-teacher-student,tech,ai-ml,model-compression;distillation;deep-learning,Knowledge Distillation & Dark Knowledge Transfer,Compresses large ensemble or teacher models into compact student models by training the student on the softened logit probability distributions (temperature-scaled softmax) of the teacher alongside ground truth labels.,"[{""label"": ""Distilling the Knowledge in a Neural Network (Hinton, Vinyals, Dean, 2015)"", ""url"": ""https://arxiv.org/abs/1503.02531""}, {""label"": ""DistilBERT: A Distilled Version of BERT (Sanh et al.)"", ""url"": ""https://arxiv.org/abs/1910.01108""}, {""label"": ""PyTorch Knowledge Distillation Tutorial"", ""url"": ""https://pytorch.org/tutorials/beginner/knowledge_distillation_tutorial.html""}]"
word2vec-skipgram-negative-sampling,tech,ai-ml,nlp;embeddings;representation-learning,Word2Vec Skip-Gram with Negative Sampling (SGNS),"Learns dense geometric word vector embeddings by training a shallow two-layer network to maximize the log-probability of target context words while minimizing that of k noise-sampled negative words, revealing semantic linear vector arithmetic.","[{""label"": ""Distributed Representations of Words and Phrases and their Compositionality (Mikolov et al.)"", ""url"": ""https://arxiv.org/abs/1310.4546""}, {""label"": ""Word2Vec Explained: Deriving Mikolov et al.'s Negative-Sampling"", ""url"": ""https://arxiv.org/abs/1402.3722""}, {""label"": ""The Illustrated Word2Vec (Jay Alammar)"", ""url"": ""https://jalammar.github.io/illustrated-word2vec/""}]"
contrastive-representation-learning-simclr,tech,ai-ml,self-supervised-learning;computer-vision;representation,SimCLR: Contrastive Self-Supervised Representation Learning,"Learns visual representations without human labels by maximizing agreement between differently augmented views (random cropping, color jitter, Gaussian blur) of the same image via normalized temperature-scaled cross-entropy loss (NT-Xent).","[{""label"": ""A Simple Framework for Contrastive Learning of Visual Representations (Chen et al., Google)"", ""url"": ""https://arxiv.org/abs/2002.05709""}, {""label"": ""Momentum Contrast for Unsupervised Visual Representation Learning (MoCo, He et al.)"", ""url"": ""https://arxiv.org/abs/1911.05722""}, {""label"": ""PyTorch Lightning SimCLR Tutorial"", ""url"": ""https://lightning.ai/docs/pytorch/stable/notebooks/course_UvA-DL/13-contrastive-learning.html""}]"
masked-autoencoders-mae,tech,ai-ml,self-supervised-learning;vision;transformers,Masked Autoencoders (MAE) Are Scalable Vision Learners,"Masks out a high proportion (75%) of random image patches, processes only the remaining unmasked patches through an asymmetric Vision Transformer encoder, and trains a lightweight decoder to reconstruct the missing pixels in pixel space.","[{""label"": ""Masked Autoencoders Are Scalable Vision Learners (He et al., Meta)"", ""url"": ""https://arxiv.org/abs/2111.06377""}, {""label"": ""Meta Research MAE GitHub"", ""url"": ""https://github.com/facebookresearch/mae""}, {""label"": ""Hugging Face ViT-MAE Docs"", ""url"": ""https://huggingface.co/docs/transformers/model_doc/vit_mae""}]"
chinchilla-compute-optimal-scaling-laws,tech,ai-ml,scaling-laws;pre-training;llms,Chinchilla Scaling Laws for Compute-Optimal Pre-Training,"Demonstrates through extensive empirical training runs that for compute-optimal training, model parameter size and training token volume should be scaled in equal proportion, proving early LLMs were significantly undertrained relative to their capacity.","[{""label"": ""Training Compute-Optimal Large Language Models (Hoffmann et al., DeepMind)"", ""url"": ""https://arxiv.org/abs/2203.15556""}, {""label"": ""Scaling Laws for Neural Language Models (Kaplan et al., OpenAI)"", ""url"": ""https://arxiv.org/abs/2001.08361""}, {""label"": ""LessWrong Analysis of Chinchilla Scaling"", ""url"": ""https://www.lesswrong.com/posts/6Fpvch8RR2qiKotC4/chinchilla-s-wild-implications""}]"
emergent-abilities-and-grokking,tech,ai-ml,theory;deep-learning;scaling,Grokking & Phase Transitions in Generalization,Analyzes the phenomenon where overparameterized neural networks achieve zero training loss quickly through memorization but suddenly transition to perfect validation generalization hundreds of thousands of epochs later as weight decay smooths internal representations.,"[{""label"": ""Grokking: Generalization Beyond Overfitting on Small Algorithmic Datasets (Power et al., OpenAI)"", ""url"": ""https://arxiv.org/abs/2201.02177""}, {""label"": ""Progress Measures for Grokking via Mechanistic Interpretability (Nanda et al.)"", ""url"": ""https://arxiv.org/abs/2301.05217""}, {""label"": ""Are Emergent Abilities of LLMs a Mirage? (Schaeffer et al., NeurIPS)"", ""url"": ""https://arxiv.org/abs/2304.15004""}]"
mechanistic-interpretability-induction-heads,tech,ai-ml,interpretability;ai-safety;mechanistic-analysis,Mechanistic Interpretability & Induction Heads,"Reverse-engineers neural networks into discrete human-interpretable computational circuits. Induction heads are two-layer attention circuits that search for previous token occurrences and copy their successors, underpinning in-context learning.","[{""label"": ""In-context Learning and Induction Heads (Anthropic, 2022)"", ""url"": ""https://transformer-circuits.pub/2022/in-context-learning-and-induction-heads/index.html""}, {""label"": ""TransformerLens Library for Mechanistic Interpretability"", ""url"": ""https://github.com/neelnanda-io/TransformerLens""}, {""label"": ""A Mathematical Framework for Transformer Circuits (Elhage et al.)"", ""url"": ""https://transformer-circuits.pub/2021/framework/index.html""}]"
react-reasoning-and-acting,tech,ai-ml,agents;prompting;tool-use,ReAct: Synergizing Reasoning and Acting in Language Models,"Interleaves dynamic chain-of-thought verbal reasoning traces with domain-specific tool execution actions (APIs, search engines). The interleaved feedback loop allows models to self-correct hallucinated trajectories using external environment observations.","[{""label"": ""ReAct: Synergizing Reasoning and Acting in Language Models (Yao et al., ICLR)"", ""url"": ""https://arxiv.org/abs/2210.03629""}, {""label"": ""LangChain ReAct Agent Documentation"", ""url"": ""https://python.langchain.com/docs/modules/agents/agent_types/react/""}, {""label"": ""LlamaIndex ReAct Agent Implementation"", ""url"": ""https://docs.llamaindex.ai/en/stable/examples/agent/react_agent/""}]"
tree-of-thoughts-prompting,tech,ai-ml,prompting;reasoning;agents,Tree of Thoughts (ToT) Problem Solving,Generalizes Chain-of-Thought prompting by enabling language models to explore coherent intermediate reasoning units (thoughts) over tree search graphs with systematic BFS/DFS lookahead exploration and self-evaluation heuristics.,"[{""label"": ""Tree of Thoughts: Deliberate Problem Solving with Large Language Models (Yao et al.)"", ""url"": ""https://arxiv.org/abs/2305.10601""}, {""label"": ""Tree-of-Thoughts Official GitHub"", ""url"": ""https://github.com/princeton-nlp/tree-of-thought-llm""}, {""label"": ""Prompt Engineering Guide: Tree of Thoughts"", ""url"": ""https://www.promptingguide.ai/techniques/tot""}]"
function-calling-json-mode-constrained-decoding,tech,ai-ml,tool-use;structured-outputs;decoding,Function Calling & Constrained Grammar Decoding,Enforces strict JSON schema compliance during token generation by masking out invalid next-token logits that violate Context-Free Grammar (CFG) or regex transition states at every autoregressive decoding step.,"[{""label"": ""Grammar-Constrained Decoding with Outlines (Dott et al.)"", ""url"": ""https://github.com/outlines-dev/outlines""}, {""label"": ""Guidance: Controlled LLM Generation (Microsoft)"", ""url"": ""https://github.com/guidance-ai/guidance""}, {""label"": ""OpenAI Structured Outputs Guide"", ""url"": ""https://platform.openai.com/docs/guides/structured-outputs""}]"
fully-sharded-data-parallel-fsdp,tech,ai-ml,distributed-training;pytorch;deep-learning,Fully Sharded Data Parallelism (FSDP) & ZeRO-3,"Eliminates memory redundancy across GPU clusters by sharding model parameters, gradients, and optimizer states across worker ranks. Layers are dynamically gathered via all-gather primitives right before forward/backward passes and instantly freed afterward.","[{""label"": ""ZeRO: Memory Optimizations Toward Training Trillion Parameter Models (Rajbhandari et al., DeepSpeed)"", ""url"": ""https://arxiv.org/abs/1910.02054""}, {""label"": ""PyTorch FSDP Official Documentation"", ""url"": ""https://pytorch.org/docs/stable/fsdp.html""}, {""label"": ""Hugging Face Accelerate with FSDP Tutorial"", ""url"": ""https://huggingface.co/docs/accelerate/usage_guides/fsdp""}]"
tensor-parallelism-megatron-lm,tech,ai-ml,distributed-training;cuda;scaling,Megatron-LM Tensor Parallelism,Splits individual linear projection matrix multiplications in multi-head attention and feed-forward blocks across multiple intra-node GPUs using column-parallel and row-parallel decomposition. Synchronizes intermediate outputs via minimal all-reduce communications.,"[{""label"": ""Megatron-LM: Training Multi-Billion Parameter Language Models Using Model Parallelism (Shoeybi et al., NVIDIA)"", ""url"": ""https://arxiv.org/abs/1909.08053""}, {""label"": ""Reducing Activation Recomputation in Large Transformer Models (Korthikanti et al.)"", ""url"": ""https://arxiv.org/abs/2205.05198""}, {""label"": ""NVIDIA Megatron-LM GitHub Repository"", ""url"": ""https://github.com/NVIDIA/Megatron-LM""}]"
pipeline-parallelism-and-1f1b-scheduling,tech,ai-ml,distributed-training;systems-ml;deep-learning,Pipeline Parallelism & 1F1B Scheduling,Partitions consecutive layers of a massive model across a sequence of GPU devices and executes training over micro-batches. The One-Forward-One-Backward (1F1B) schedule minimizes memory consumption by pairing backward computations with newly incoming forward passes.,"[{""label"": ""GPipe: Efficient Training of Giant Neural Networks using Pipeline Parallelism (Huang et al., Google)"", ""url"": ""https://arxiv.org/abs/1811.06965""}, {""label"": ""PipeDream: Generalized Pipeline Parallelism for DNN Training (Narayanan et al.)"", ""url"": ""https://arxiv.org/abs/1906.00707""}, {""label"": ""PyTorch Pipeline Parallelism (PiPPy)"", ""url"": ""https://github.com/pytorch/PiPPy""}]"
deduplication-minhash-lsh-for-llm-data,tech,ai-ml,data-engineering;pre-training;algorithms,MinHash LSH for Large-Scale Corpus Deduplication,"Applies Locality Sensitive Hashing (LSH) over Jaccard similarity matrices of token n-grams to identify and purge near-duplicate web documents from multi-terabyte pre-training datasets, drastically reducing model memorization and compute waste.","[{""label"": ""Deduplicating Training Data Makes Language Models Better (Lee et al.)"", ""url"": ""https://arxiv.org/abs/2107.06499""}, {""label"": ""FineWeb Dataset Curation & Filtering Recipe (Hugging Face)"", ""url"": ""https://huggingface.co/spaces/HuggingFaceFW/blogpost-fineweb-p2""}, {""label"": ""Datasketch: MinHash in Python"", ""url"": ""https://ekzhu.com/datasketch/minhash.html""}]"
synthetic-data-generation-evol-instruct,tech,ai-ml,synthetic-data;instruction-tuning;data-engine,Evol-Instruct: Automated Synthetic Instruction Evolution,"Iteratively expands the complexity, difficulty, and breadth of raw prompt instructions using structured evolutionary mutations (deepening constraints, concretizing abstractions, multi-step reasoning) guided by frontier LLMs to create high-quality fine-tuning corpora.","[{""label"": ""WizardLM: Empowering Large Language Models to Follow Complex Instructions (Xu et al.)"", ""url"": ""https://arxiv.org/abs/2304.12244""}, {""label"": ""Textbooks Are All You Need (Phi-1 / Phi-2, Microsoft)"", ""url"": ""https://arxiv.org/abs/2306.11644""}, {""label"": ""Argilla Distilabel Synthetic Data Pipeline"", ""url"": ""https://distilabel.argilla.io/""}]"
llm-as-a-judge-evaluations,tech,ai-ml,evaluation;benchmarks;alignment,LLM-as-a-Judge Evaluation Frameworks,"Leverages powerful frontier models with structured rubrics, pairwise position-swapping, and reference solutions to evaluate open-ended model answers, achieving high correlation with human expert judges at a fraction of manual annotation costs.","[{""label"": ""Judging LLM-as-a-Judge with MT-Bench and Chatbot Arena (Zheng et al., LMSYS)"", ""url"": ""https://arxiv.org/abs/2306.05685""}, {""label"": ""LMSYS Chatbot Arena Leaderboard"", ""url"": ""https://chat.lmsys.org/""}, {""label"": ""OpenAI Evals Framework"", ""url"": ""https://github.com/openai/evals""}]"
hallucination-mitigation-and-rag-triad,tech,ai-ml,rag;evaluation;hallucinations,"The RAG Triad: Context Relevance, Groundedness & Answer Relevance","A formal evaluation methodology that breaks down RAG hallucinations into three measurable orthogonal axes: whether the retrieved context contains relevant info, whether the model answer is strictly grounded in that context, and whether it directly satisfies user intent.","[{""label"": ""TruLens: The RAG Triad for LLM Quality"", ""url"": ""https://www.trulens.org/trulens_eval/core_concepts_rag_triad/""}, {""label"": ""Ragas: Automated Evaluation of Retrieval Augmented Generation"", ""url"": ""https://arxiv.org/abs/2309.15217""}, {""label"": ""A Survey on Hallucination in Large Language Models (Huang et al.)"", ""url"": ""https://arxiv.org/abs/2309.01219""}]"
cross-entropy-and-perplexity,tech,ai-ml,information-theory;loss-functions;nlp,"Cross-Entropy Loss, Negative Log-Likelihood & Perplexity",The fundamental mathematical metrics for training and benchmarking language models. Perplexity is the exponentiated cross-entropy loss representing the effective branching factor of uncertain candidate tokens predicted by the model.,"[{""label"": ""Hugging Face Perplexity of Fixed-Length Models Guide"", ""url"": ""https://huggingface.co/docs/transformers/perplexity""}, {""label"": ""Stanford CS224N: Language Models and Training Objectives"", ""url"": ""https://web.stanford.edu/class/cs224n/""}, {""label"": ""Deep Learning Book: Probability and Information Theory (Goodfellow et al.)"", ""url"": ""https://www.deeplearningbook.org/contents/prob.html""}]"
